district,office_code,office,village_code,village,property_card_record
Sindhudurg,3301,"उप अधीक्षक भूमि  अभिलेख, देवगड",3301005100,किंजवडे,Y
Sindhudurg,3301,"उप अधीक्षक भूमि  अभिलेख, देवगड",3301006100,तोरसोळे,Y
Sindhudurg,3301,"उप अधीक्षक भूमि  अभिलेख, देवगड",3301099100,देवगड,Y
Sindhudurg,3301,"उप अधीक्षक भूमि  अभिलेख, देवगड",3301003100,मिठबाव,Y
Sindhudurg,3301,"उप अधीक्षक भूमि  अभिलेख, देवगड",3301002100,मौजे मोंड,Y
Sindhudurg,3301,"उप अधीक्षक भूमि  अभिलेख, देवगड",3301001100,येरा विजयदुर्ग,Y
Sindhudurg,3308,"उप अधीक्षक भूमि  अभिलेख, दोदामार्ग",3308002100,मोर्ले,Y
Sindhudurg,3308,"उप अधीक्षक भूमि  अभिलेख, दोदामार्ग",3308001100,वझरे,Y
Sindhudurg,3303,"उप अधीक्षक भूमि  अभिलेख, कणकवली",3303001100,कणकवली,Y
Sindhudurg,3303,"उप अधीक्षक भूमि  अभिलेख, कणकवली",3303004100,कलमठ,Y
Sindhudurg,3303,"उप अधीक्षक भूमि  अभिलेख, कणकवली",3303108100,घोणसरी,Y
Sindhudurg,3303,"उप अधीक्षक भूमि  अभिलेख, कणकवली",3303002100,नांदगांव,Y
Sindhudurg,3303,"उप अधीक्षक भूमि  अभिलेख, कणकवली",3303003100,हरकुळ.बु.,Y
Sindhudurg,3304,"उप अधीक्षक भूमि  अभिलेख, मालवण",3304001100,मालवण,Y
Sindhudurg,3304,"उप अधीक्षक भूमि  अभिलेख, मालवण",3304002100,वायरी,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307010100,कलंबिस्त,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307009100,गेळे,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307008100,फणसवडे,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307011100,मासूरे,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307003100,मौजे आजगांव,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307002100,मौजे आरोंदा,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307007100,मौजे- आंबोली,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307005100,मौजे- कुंभारवाडी,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307006100,मौजे- तळवडे,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307004100,मौजे बांदा,Y
Sindhudurg,3307,"उप अधीक्षक भूमि  अभिलेख, सावंतवाडी",3307001100,शहर सावंतवाडी,Y
Sindhudurg,3306,"उप अधीक्षक भूमि  अभिलेख, कुडाळ",3306005100,अणाव,Y
Sindhudurg,3306,"उप अधीक्षक भूमि  अभिलेख, कुडाळ",3306003100,कसाल,Y
Sindhudurg,3306,"उप अधीक्षक भूमि  अभिलेख, कुडाळ",3306001100,कुडाळ,Y
Sindhudurg,3306,"उप अधीक्षक भूमि  अभिलेख, कुडाळ",3306004100,पाट,Y
Sindhudurg,3306,"उप अधीक्षक भूमि  अभिलेख, कुडाळ",3306002100,वेताळ बांबर्डे,Y
Sindhudurg,3305,"उप अधीक्षक भूमि  अभिलेख, वेंगुर्ला",3305002100,मौजे तुळस,Y
Sindhudurg,3305,"उप अधीक्षक भूमि  अभिलेख, वेंगुर्ला",3305004100,मौजे-दाभोली,Y
Sindhudurg,3305,"उप अधीक्षक भूमि  अभिलेख, वेंगुर्ला",3305001100,मौजे मातोंड,Y
Sindhudurg,3305,"उप अधीक्षक भूमि  अभिलेख, वेंगुर्ला",3305003100,मौजे-होडावडे,Y
