district,office_code,office,village_code,village,pc_no,other_rights_charge,note
Nandurbar,102,"उप अधीक्षक भूमि अभिलेख, आक्राणी",102088100,तोरणमाळ(जुने),1,N,
Dhule,203,"उप अधीक्षक भूमि  अभिलेख, साक्री",203046100,आमखेल,,,
Jalgaon,303,"उप अधीक्षक भूमि  अभिलेख, रावेर",303037100,अटवाडे,,,
Buldhana,410,"उप अधीक्षक भूमि  अभिलेख, बुलडाणा",410067100,अजीसपुर,,,
Akola,508,नगर भूमापन अधिकारी अकोला,508001100,अकोला शिट क्र १,,,
Washim,604,"उप अधीक्षक भूमि  अभिलेख, मानोरा",604013100,अजनी,,,
Amravati,702,"उप अधीक्षक भूमि  अभिलेख, चिखलदरा",702013100,अढाव,,,
Wardha,802,"उप अधीक्षक भूमि  अभिलेख, कारंजा",802055100,अंभोरा,,,
Nagpur,917,न.भू.अ.3 नागपूर,917017100,अजनी,,,
Bhandara,1001,"उप अधीक्षक भूमि  अभिलेख, तुमसर",1001021100,अग्री,,,
Gondia,1105,"उप अधीक्षक भूमि  अभिलेख, सालेकसा",1105005100,असईटोला,,,
Gadchiroli,1203,"उप अधीक्षक भूमि  अभिलेख, कुरखेडा",1203039100,अरततोंडीं,,,
Chandrapur,1305,"उप अधीक्षक भूमि  अभिलेख, सावली",1305005100,अंतरगांव,,,
Yavatmal,1409,"उप अधीक्षक भूमि  अभिलेख, महागाव",1409021100,अनंतवाडी,,,
Nanded,1501,"उप अधीक्षक भूमि  अभिलेख, माहूर",1501008100,अमीनागूडा (तुलसी ),,,
Hingoli,1605,"उप अधीक्षक भूमि  अभिलेख, बसमत",1605084100,अकोली,,,
Parbhani,1701,"उप अधीक्षक भूमि  अभिलेख, सेलु",1701010100,आडगाव दराडे,,,
Jalna,1802,"उप अधीक्षक भूमि  अभिलेख, जाफ्राबाद",1802007100,अकोला देव,,,
Chhatrapati Sambhajinagar,1906,"उप अधीक्षक भूमि  अभिलेख, खुलताबाद",1906007100,आखातवाडा,,,
Nashik,2018,नगर भूमापन अधिकारी क्रमांक २ नाशिक,2018008100,अंबड खु,,,
Thane,2120,"नगर भूमापन अधिकारी,डोंबिवली",2120001100,आयरे,,,
Mumbai Suburban,2202,"नगर भूमापन अधिकारी,मालाड",2202001100,आरे,,,
Raigad,2416,"नगर भूमापन अधिकारी, अलिबाग",2416001100,केतकीचा मळा,,,
Pune,2512,"उप अधीक्षक भूमि अभिलेख, भोर",2512039100,अभेपुरी,,,
Ahilyanagar,2611,"उप अधीक्षक भूमि  अभिलेख, पारनेर",2611028100,अक्कलवाडी,,,
Beed,2702,"उप अधीक्षक भूमि  अभिलेख, पाटोदा",2702010100,अंतापूर,,,
Latur,2806,"उप अधीक्षक भूमि  अभिलेख, शरूर अनंतपाळ",2806009100,अंकुलगा(राणी),,,
Dharashiv,2901,"उप अधीक्षक भूमि  अभिलेख, परांडा",2901026100,आरणगगाव,,,
Solapur,3002,"उप अधीक्षक भूमि  अभिलेख, माढा",3002020100,अरण,,,
Satara,3109,"उप अधीक्षक भूमि  अभिलेख, जावळी",3109005100,आखाडे,,,
Ratnagiri,3201,"उप अधीक्षक भूमि  अभिलेख, मंडणगड",3201033100,अडखळ,,,
Sindhudurg,3301,"उप अधीक्षक भूमि  अभिलेख, देवगड",3301005100,किंजवडे,,,
Kolhapur,3412,"उप अधीक्षक भूमि  अभिलेख, चंदगड",3412001100,अडकूर,,,
Sangli,3505,"उप अधीक्षक भूमि  अभिलेख, आटपाडी",3505009100,आटपाडी,,,
Palghar,3601,"उप अधीक्षक भूमि अभिलेख, तलासरी",3601001100,अच्छाड,,,
