district,tehsil,village,survey_no,manual_textual,auto_textual,textual_match,manual_joint,auto_joint,joint_match,manual_spatial,owners_on_record,govt_land,note
Agar-Malwa,Agar,Mali Khedi,50 (P)-302(B),Y,Y,OK,N,N,OK,,1,N,
Agar-Malwa,Agar,Guru Khedi,50-208,Y,Y,OK,N,N,OK,,1,N,
Agar-Malwa,Soyatkala,Ganeshpura,50-395,Y,Y,OK,Y,Y,OK,,2,N,
Agar-Malwa,Soyatkala,Bhawanipura,50-130/4/2,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Alirajpur,Alirajpur,Lakhan Kot,nan,N,N,OK,N,,,,,,portal: no record for sampled plot
Alirajpur,Alirajpur,Ramsingh Ki Choki,50-876,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Alirajpur,Jobat,Khutaja,16-203/3,Y,Y,OK,N,N,OK,,1,Y,govt plot — joint NA
Alirajpur,Jobat,Chhotaguda,2-92,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Anuppur,Anuppur,Dulhara,16-409/1/2,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Anuppur,Anuppur,Kusumhai,13-37/1/1/2,Y,,,N,,,,,,village not resolved on webgis2 (uncomparable)
Anuppur,Kotma,Sakola,30-2354,Y,Y,OK,N,N,OK,,1,N,
Anuppur,Kotma,Pakariya,nan,Y,Y,OK,N,N,OK,,1,N,
Ashoknagar,Ashoknagar,Takneri,29-245,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Ashoknagar,Ashoknagar,Shankarpur,48-186,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Ashoknagar,Mungaoli,Karra,36-193,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Ashoknagar,Mungaoli,Bandhi,3-67,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Balaghat,Balaghat,Bhatera,50-62/1,Y,Y,OK,Y,Y,OK,,2,N,
Balaghat,Balaghat,Kosmi (Ct),50-241/1,Y,,,Y,,,,,,village not resolved on webgis2 (uncomparable)
Balaghat,Birsa,Bhanderi,14-52,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Balaghat,Birsa,Eko,15-22/3,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Barwani,Barwani,Barwani Khurd,31-27,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Barwani,Barwani,Kalyanpura,35-35,Y,N,MISMATCH,N,,,,,,portal: no record for sampled plot
Barwani,Varla,Malwan,nan,N,N,OK,N,,,,,,portal: no record for sampled plot
Barwani,Varla,Solwan,50-313,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Betul,Betul,Parsodi Khurd,50-59,Y,Y,OK,N,N,OK,,1,N,
Betul,Betul,Khakra Jamthi,14-54,Y,Y,OK,N,N,OK,,1,N,
Betul,Bhimpur,Simori,50-172,Y,Y,OK,N,N,OK,,1,N,
Betul,Bhimpur,Ratamati,50-700,Y,Y,OK,N,Y,MISMATCH,,2,N,
Bhind,Bhind Nagar,Mudiakhara,50-253,Y,Y,OK,N,N,OK,,1,N,
Bhind,Bhind Nagar,Ratanupura,50-575,Y,Y,OK,Y,Y,OK,,2,N,
Bhind,Lahar,Sijroli,50-106,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Bhind,Lahar,Keshavgarh,50-466,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Bhopal,Huzur,Pipliya Bajkhan,50-297,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Bhopal,Huzur,Ghat Khedi,25-20,Y,Y,OK,N,N,OK,,1,N,
Bhopal,Berasia,Mudia Kheda,50-57,Y,Y,OK,N,N,OK,,1,N,
Bhopal,Berasia,Berkhedi Kalan,50-305,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Burhanpur,Burhanpur Nagar,Hamidpura,47-70,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Burhanpur,Burhanpur Nagar,Emagird,50-42,Y,Y,OK,N,Y,MISMATCH,,1,N,
Burhanpur,Khaknar,Gulai,50-126,Y,Y,OK,N,N,OK,,1,N,
Burhanpur,Khaknar,Sindh Kheda Kalan,50-137,Y,Y,OK,N,N,OK,,1,N,
Chhatarpur,Chhatarpur Nagar,Palotha,36-859,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Chhatarpur,Chhatarpur Nagar,Saura (Part),50-478,Y,Y,OK,N,N,OK,,1,N,
Chhatarpur,Buxwaha,Panchhi,18-59,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Chhatarpur,Buxwaha,Pipariya Kalan,43-234,Y,Y,OK,N,N,OK,,1,N,
Chhindwara,Chhindwara,Dungariya,50-46,Y,Y,OK,N,N,OK,,1,N,
Chhindwara,Chhindwara,Thuniya Udana,50-267,Y,Y,OK,Y,Y,OK,,4,N,
Chhindwara,Harrai,Imajhiri,19-34,Y,Y,OK,N,N,OK,,1,N,
Chhindwara,Harrai,Tehtori,50-103,Y,Y,OK,Y,Y,OK,,2,N,
Damoh,Damyanti Nagar,Samanna Ryt.,8-20,Y,Y,OK,N,N,OK,,1,N,
Damoh,Damyanti Nagar,Hirdepur (Ct),50-304,Y,,,Y,,,,,,village not resolved on webgis2 (uncomparable)
Damoh,Hatta,Prempura,50-133,Y,Y,OK,Y,Y,OK,,2,N,
Damoh,Hatta,Bori Kalan,50-263,Y,Y,OK,Y,Y,OK,,4,N,
Datia,Datia Nagar,Richhara,50-417,Y,Y,OK,N,N,OK,,1,N,
Datia,Datia Nagar,Bhawanipur,50-293,N,N,OK,N,,,,,,portal: no record for sampled plot
Datia,Seondha,Maharoli,50-79,Y,Y,OK,N,N,OK,,1,N,
Datia,Seondha,Sikroli,45-314,Y,Y,OK,N,Y,MISMATCH,,2,N,
Dewas,Dewas Nagar,Mukundkhedi,50-70,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Dewas,Dewas Nagar,Nagukhedi,50-157,Y,Y,OK,N,N,OK,,1,N,
Dewas,Khategaon,Satal,44-202,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Dewas,Khategaon,Nandakheda,50-77,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Dhar,Dhar,Amkheda,50-251,Y,Y,OK,Y,Y,OK,,2,N,
Dhar,Dhar,Delmi,50-302,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Dhar,Dahi,Silkua,50-16/4,Y,,,N,,,,,,village not resolved on webgis2 (uncomparable)
Dhar,Dahi,Pithampur,nan,N,N,OK,N,,,,,,portal: no record for sampled plot
Dindori,Dindori,Dand Vidaypur Mal.,50-126,Y,Y,OK,Y,NA,,,1,Y,govt plot — joint NA
Dindori,Dindori,Dhaurai Mal.,1-10,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Dindori,Shahpura,Kalagitola Mal.,50-100,Y,Y,OK,N,N,OK,,1,N,
Dindori,Shahpura,Marwari Ryt.(Mundi),40-92,Y,Y,OK,N,N,OK,,1,N,
Guna,Guna Nagar,Binayak Khedi,43-119,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Guna,Guna Nagar,Sakatpur,nan,N,Y,MISMATCH,N,N,OK,,1,N,
Guna,Chachoda,Barkhedi Khurd,50-168/1,Y,Y,OK,N,N,OK,,1,N,
Guna,Chachoda,Kandya Khedi Khurd,27-170,Y,Y,OK,N,N,OK,,1,N,
Gwalior,Gwalior Gramin,Jebra,50-522,Y,Y,OK,Y,Y,OK,,3,N,
Gwalior,Gwalior Gramin,Sigora,50-297,Y,Y,OK,Y,Y,OK,,2,N,
Gwalior,Bhitarwar,Ikahara,50-621,Y,Y,OK,N,N,OK,,1,N,
Gwalior,Bhitarwar,Gadajar,50-1432,Y,Y,OK,N,N,OK,,1,N,
Harda,Harda,Rupiparetiya,50-51,Y,Y,OK,N,N,OK,,1,N,
Harda,Harda,Rahta Khurd,50-122,Y,Y,OK,N,N,OK,,1,N,
Harda,Khirkiya,Salabebi,37-68,Y,Y,OK,N,N,OK,,1,N,
Harda,Khirkiya,Harpalia,50-107,Y,Y,OK,N,N,OK,,1,N,
Indore,Indore,Kalod Hala,50-143,Y,Y,OK,N,N,OK,,1,N,
Indore,Depalpur,Muradpura,41-27,Y,Y,OK,N,N,OK,,1,N,
Indore,Depalpur,Chirakhan,50-1162,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Jabalpur,Ranjhi,Tighra,50-169,Y,Y,OK,N,N,OK,,1,N,
