state,district,tehsil,village,lgd_code,district_hq,village_to_hq_km,in_card_census,cards_distributed,properties_total,plots_checked,plots_with_loan,encumbrance_notes
Madhya Pradesh,Agar-Malwa,Agar,Mali Khedi,472521,AGAR MALWA,3.9,True,145,179,,,
Madhya Pradesh,Alirajpur,Alirajpur,Lakhan Kot,505202,ALIRAJPUR,3.4,True,1,1,,,
Madhya Pradesh,Anuppur,Anuppur,Dulhara,501933,ANUPPUR,2.4,True,8,8,,,
Madhya Pradesh,Ashoknagar,Ashoknagar,Takneri,500366,ASHOKNAGAR,0.3,True,15,19,,,
Madhya Pradesh,Balaghat,Balaghat,Bhatera,497747,BALAGHAT,3.0,False,,,,,
Madhya Pradesh,Barwani,Barwani,Barwani Khurd,478005,Barwani,4.9,True,22,38,,,
Madhya Pradesh,Betul,Betul,Parsodi Khurd,485667,BETUL,2.8,True,50,55,,,
Madhya Pradesh,Bhind,Bhind Nagar,Mudiakhara,452910,BHIND,3.9,True,202,273,,,
Madhya Pradesh,Bhopal,Huzur,Pipliya Bajkhan,482458,BHOPAL,10.1,True,74,80,,,
Madhya Pradesh,Burhanpur,Burhanpur Nagar,Hamidpura,506176,BURHANPUR,2.0,True,38,76,,,
Madhya Pradesh,Chhatarpur,Chhatarpur Nagar,Palotha,457927,CHHATARPUR,4.1,True,27,33,,,
Madhya Pradesh,Chhindwara,Chhindwara,Dungariya,494889,CHHINDWARA,9.1,False,,,,,
Madhya Pradesh,Damoh,Damyanti Nagar,Samanna Ryt.,462338,Damoh,3.2,True,6,14,,,
Madhya Pradesh,Datia,Datia Nagar,Richhara,454644,DATIA,7.1,True,136,246,,,
Madhya Pradesh,Dewas,Dewas Nagar,Mukundkhedi,473568,DEWAS,5.5,True,81,94,,,
Madhya Pradesh,Dhar,Dhar,Amkheda,474839,DHAR,4.8,True,45,93,,,
Madhya Pradesh,Dindori,Dindori,Dand Vidaypur Mal.,491957,Dindori,3.9,False,,,,,
Madhya Pradesh,Guna,Guna Nagar,Binayak Khedi,498859,GUNA,4.4,True,31,60,,,
Madhya Pradesh,Gwalior,Gwalior Gramin,Jebra,453833,GWALIOR,9.9,True,81,217,,,
Madhya Pradesh,Harda,Harda,Rupiparetiya,486741,Harda,5.1,True,99,134,,,
Madhya Pradesh,Indore,Juni Indore,Kalod Hala,476267,INDORE,11.2,True,166,197,,,
Madhya Pradesh,Jabalpur,Ranjhi,Tighra,489829,JABALPUR,14.7,True,55,60,,,
Madhya Pradesh,Jhabua,Jhabua,Badkuwa,504709,JHABUA,2.0,False,,,,,
Madhya Pradesh,Katni,Murwara Or Katni,Hirwara,488149,Katni,3.3,False,,,,,
Madhya Pradesh,Khandwa (East Nimar),Khandwa Nagar,Bhandariya,505759,KHANDWA,6.0,True,210,422,,,
Madhya Pradesh,Khargone (West Nimar),Khargone Nagar,Mangrulbujurg,477605,KHARGON,5.0,True,281,599,,,
Madhya Pradesh,MAUGANJ,Hanumana,Bahuti,466160,MAUGANJ,5.4,False,,,,,
Madhya Pradesh,Maihar,Maihar,Kusiyari,464685,MAIHAR,4.0,False,,,,,
Madhya Pradesh,Mandla,Mandla,Rambag,492917,MANDLA,2.5,True,27,28,,,
Madhya Pradesh,Mandsaur,Mandsaur Nagar,Alawadakhedi,469549,MANDSAUR,4.0,True,286,296,,,
Madhya Pradesh,Morena,Morena,Jagatpur,452265,MORENA,7.1,False,,,,,
Madhya Pradesh,Narmadapuram,Hoshangabad,Dongarwada,487433,NARMADAPURAM,6.0,False,,,,,
Madhya Pradesh,Narsimhapur,Kareli,Khairi,491343,NARSIMHAPUR,3.9,True,192,376,,,
Madhya Pradesh,Neemuch,Neemuch Nagar,Jaisingpura,468676,Neemach,3.5,False,,,,,
Madhya Pradesh,Niwari,Niwari,Niwari Bhata,456421,NIWARI,3.3,True,82,98,,,
Madhya Pradesh,Pandhurna,Pandhurna,Ambada Khurd,495610,PANDHURNA,4.1,False,,,,,
Madhya Pradesh,Panna,Panna,Sarkoha,458709,PANNA,7.2,True,10,17,,,
Madhya Pradesh,Raisen,Raisen,Rangpura (Imaliya),483795,RAISEN,4.1,True,21,25,,,
Madhya Pradesh,Rajgarh,Rajgarh,Laxmanpura,479409,RAJGARH,2.4,False,,,,,
Madhya Pradesh,Ratlam,Ratlam Nagar,Karmadi,470953,RATLAM,4.4,False,,,,,
Madhya Pradesh,Rewa,Huzur Nagar,Silpari,467221,REWA,5.4,True,27,49,,,
Madhya Pradesh,Sagar,Sagar Nagar,Patheriya Raiyatwari,460623,SAGAR,5.3,True,74,94,,,
Madhya Pradesh,Satna,Raghurajnagar (Nagriya),Beeriha,463136,SATNA,5.0,True,1,5,,,
Madhya Pradesh,Sehore,Sehore,Sherpur (Part),482651,SEHORE,3.8,True,110,129,,,
Madhya Pradesh,Seoni,Seoni Nagar,Marjhor,496845,SEONI,1.0,True,58,92,,,
Madhya Pradesh,Shahdol,Sohagpur,Dudhi,501285,SHAHDOL,8.6,True,7,7,,,
Madhya Pradesh,Shajapur,Shajapur,Moolikheda,472706,SHAJAPUR,2.7,True,205,342,,,
Madhya Pradesh,Sheopur,Sheopur,Birampura,451667,Sheopur,2.5,True,29,30,,,
Madhya Pradesh,Shivpuri,Shivpuri,Nohri Kalan,455376,SHIVPURI,6.8,True,188,256,,,
Madhya Pradesh,Sidhi,Churhat,Lakoda,502496,SIDHI,10.3,True,29,48,,,
Madhya Pradesh,Singrauli,Singrauli,Tusa Khand,504015,WAIDHAN,6.7,True,7,16,,,
Madhya Pradesh,Tikamgarh,Tikamgarh,Maharajpura,457217,TIKAMGARH,3.5,True,344,458,,,
Madhya Pradesh,Ujjain,Kothi Mahal,Jiwankhedi,471884,UJJAIN,5.8,True,36,39,,,
Madhya Pradesh,Umaria,Bandhavgarh,Mahimar,467588,Umaria,5.3,True,10,17,,,
Madhya Pradesh,Vidisha,Vidisha Nagar,Hasnabad,481982,VIDISHA,3.6,True,4,4,,,
